#{"t_start": 1767050405.1275222, "env_id": "Reacher-v4"}
r,l,t
-5.25388,50,432.475339
-3.625247,50,433.062321
-5.588956,50,433.639137
-3.449348,50,434.215144
-2.908296,50,434.793884
-4.316746,50,435.379817
-6.688065,50,435.95639
-4.832714,50,436.545965
-7.350626,50,437.123022
-4.113519,50,437.725058
-6.917842,50,438.303311
-2.153454,50,438.910844
-3.330724,50,439.450222
-3.299848,50,440.045469
-3.085274,50,440.639502
-3.739426,50,441.164684
-3.098087,50,441.879007
-8.512755,50,442.446251
-5.162079,50,442.997409
-4.994064,50,443.597047
-5.646174,50,444.164047
-5.576775,50,444.699191
-5.092095,50,445.298871
-4.013793,50,445.849237
-4.014982,50,446.421786
-2.79682,50,446.988054
-5.800072,50,447.590717
-4.860085,50,448.205359
-5.689881,50,448.766798
-5.094756,50,449.296321
-5.730953,50,449.882363
-3.18768,50,450.4288
-4.138178,50,450.997587
-6.853082,50,451.533368
-3.67794,50,452.11151
-5.449814,50,452.709299
-5.548438,50,453.282435
-5.044481,50,453.88263
-2.825885,50,454.431066
-5.272538,50,455.031989
-6.760894,50,455.570988
-2.836942,50,456.121067
-6.576227,50,456.913728
-4.953722,50,457.518698
-2.108648,50,458.072052
-5.033312,50,458.632952
-5.617829,50,459.177365
-2.875952,50,459.740502
-2.715178,50,460.25407
-5.313049,50,460.824528
-4.315252,50,461.40249
-6.22515,50,461.973414
-6.259251,50,462.559487
-5.071986,50,463.160875
-4.368699,50,463.733685
-2.715234,50,464.348223
-6.217416,50,464.899916
-6.881535,50,465.473662
-2.330539,50,466.042799
-4.890988,50,466.615487
-4.374619,50,467.199635
-5.468629,50,467.793095
-4.167785,50,468.322258
-5.209291,50,468.920979
-5.197234,50,469.479433
-5.230719,50,470.040109
-4.871452,50,470.63372
-4.588711,50,471.226547
-6.097949,50,471.93533
-5.72444,50,472.52605
-6.161197,50,473.11403
-3.930712,50,473.749721
-3.177071,50,474.322843
-2.386298,50,474.849992
-5.285626,50,475.418824
-6.573048,50,475.987326
-6.423972,50,476.568129
-6.327454,50,477.162964
-4.265769,50,477.732184
-4.63175,50,478.308207
-3.978258,50,478.891044
-6.087668,50,479.451469
-4.474992,50,480.000237
-7.287549,50,480.621105
-2.877871,50,481.226315
-4.016776,50,481.833562
-5.158176,50,482.412094
-5.560472,50,483.019674
-3.653288,50,483.610003
-4.908203,50,484.19068
-4.438194,50,484.750651
-5.115302,50,485.358458
-6.707307,50,485.968293
-7.034006,50,486.750147
-6.969654,50,487.384646
-5.630102,50,487.964119
-6.776319,50,488.540057
-3.507656,50,489.120418
-4.342278,50,489.706599
-7.124332,50,490.294733
-2.537831,50,490.864732
-4.886017,50,491.431067
-6.330714,50,491.994229
-4.542844,50,492.578064
-5.144972,50,493.137846
-3.090735,50,493.736198
-3.82034,50,494.295846
-3.987467,50,494.884883
-2.75684,50,495.476774
-5.802998,50,496.053325
-4.52869,50,496.641688
-9.576842,50,497.250208
-3.966604,50,497.841027
-4.321188,50,498.463632
-3.033526,50,499.048751
-4.589859,50,499.664351
-5.326809,50,500.245775
-3.954849,50,500.814582
-5.43769,50,501.448995
-4.182049,50,502.108996
-4.938708,50,502.667551
-6.84607,50,503.232984
-8.211351,50,503.806928
-5.489073,50,504.396577
-4.564862,50,504.964919
-4.080946,50,505.537454
-6.140948,50,506.109215
-6.22715,50,506.711817
-5.710285,50,507.267508
-2.398327,50,507.817398
-3.683239,50,508.414018
-3.503304,50,508.998855
-4.779686,50,509.559224
-2.804226,50,510.115898
-4.741123,50,510.644464
-2.298166,50,511.206866
-5.278325,50,511.762561
-5.581959,50,512.339843
-5.568463,50,512.920539
-6.74419,50,513.503742
-5.141069,50,514.072091
-5.068111,50,514.649793
-2.531525,50,515.226829
-3.375055,50,515.845312
-5.026546,50,516.54093
-5.005276,50,517.207408
-6.949373,50,517.768923
-6.302314,50,518.360955
-2.874794,50,518.929368
-4.218236,50,519.449525
-4.045083,50,520.020727
-6.096424,50,520.590474
-5.358428,50,521.158448
-4.960093,50,521.716649
-4.103791,50,522.280701
-5.321607,50,522.847842
-4.735875,50,523.397198
-3.308744,50,523.969153
-4.17201,50,524.552003
-2.65064,50,525.147889
-4.393632,50,525.685634
-4.10072,50,526.264439
-4.767061,50,526.854812
-7.609529,50,527.426294
-6.128182,50,528.006208
-3.605243,50,528.591696
-1.76271,50,529.169906
-3.480325,50,529.748269
-2.680111,50,530.371501
-6.116241,50,530.938161
-5.713998,50,531.644081
-5.586537,50,532.244481
-3.36539,50,532.808259
-6.288381,50,533.349187
-5.849646,50,533.930274
-5.943557,50,534.489248
-4.590543,50,535.079009
-2.736285,50,535.661302
-2.882943,50,536.243893
-2.749823,50,536.853374
-5.630339,50,537.458332
-4.623179,50,538.013975
-2.093439,50,538.621133
-4.511564,50,539.178455
-3.412172,50,539.745915
-6.751505,50,540.343735
-4.243115,50,540.934027
-7.034965,50,541.459693
-6.843529,50,542.046305
-6.23538,50,542.60082
-3.133414,50,543.172625
-3.614964,50,543.748995
-5.201138,50,544.2994
-3.936316,50,544.86309
-4.891,50,545.416245
-3.663059,50,546.001729
-5.189029,50,546.765741
-4.27202,50,547.334134
-6.838169,50,547.935629
-4.057347,50,548.538894
-3.090995,50,549.127086
-6.48876,50,549.665616
-5.041516,50,550.240659
-3.21082,50,550.855272
-4.109395,50,551.437108
-3.298505,50,552.015615
-7.059404,50,552.607045
-8.251017,50,553.20235
-5.523692,50,553.784307
-5.269074,50,554.346322
-3.706006,50,554.929935
-5.153652,50,555.495586
-3.982643,50,556.036264
-3.125374,50,556.563709
-4.96559,50,557.092469
-1.743598,50,557.648579
-2.921213,50,558.215234
-3.599359,50,558.82718
-6.608156,50,559.380334
-2.761026,50,559.973756
-6.505297,50,560.600345
-4.388064,50,561.186524
-5.625139,50,561.892375
-3.826731,50,562.501219
-3.962802,50,563.089532
-5.302364,50,563.634016
-4.81638,50,564.182934
-3.84789,50,564.759191
-5.691231,50,565.340571
-5.326047,50,565.931893
-2.360662,50,566.519208
-3.942979,50,567.098493
-5.856862,50,567.645897
-5.935979,50,568.181041
-6.495954,50,568.762112
-2.868222,50,569.380545
-2.39243,50,569.979885
-3.687632,50,570.591063
-5.469421,50,571.166332
-5.48239,50,571.765218
-2.682242,50,572.296278
-4.21753,50,572.884328
-4.141681,50,573.475847
-5.899775,50,574.066253
-2.948464,50,574.651977
-5.191661,50,575.233345
-6.982997,50,575.769727
-4.389416,50,576.366498
-6.068926,50,577.159416
-4.589798,50,577.763899
-4.153171,50,578.359322
-4.434768,50,578.954914
-3.403048,50,579.543561
-6.133207,50,580.119217
-3.39503,50,580.713958
-3.625476,50,581.296668
-5.7443,50,581.849731
-4.567543,50,582.412292
-4.937565,50,582.967568
-3.968814,50,583.555534
-5.936729,50,584.172756
-4.944214,50,584.776227
-6.355656,50,585.360844
-4.348163,50,585.956285
-2.122837,50,586.50261
-5.552686,50,587.051039
-2.894118,50,587.593679
-4.91165,50,588.180719
-5.410647,50,588.768556
-7.269424,50,589.330076
-2.359953,50,589.913007
-7.012626,50,590.457634
-4.861832,50,591.047195
-4.905451,50,591.753521
-2.390639,50,592.283432
-5.158784,50,592.860386
-5.82192,50,593.45188
-3.927606,50,594.039429
-3.629326,50,594.634823
-3.60208,50,595.229668
-5.023048,50,595.834939
-6.46422,50,596.438727
-4.192262,50,597.024784
-6.386503,50,597.620296
-2.298065,50,598.183554
-6.175864,50,598.775182
-3.863381,50,599.374902
-5.341588,50,600.009576
-2.587964,50,600.589283
-5.754176,50,601.16496
-4.081677,50,601.740855
-5.501252,50,602.3289
-4.631268,50,602.91876
-4.233051,50,603.484698
-5.617777,50,604.058833
-4.397487,50,604.645976
-3.628694,50,605.214924
-6.373516,50,605.767696
-7.056428,50,606.380467
-5.242583,50,607.155339
-4.409961,50,607.692901
-6.772003,50,608.281638
-3.283807,50,608.833809
-3.949917,50,609.414569
-2.869938,50,609.998294
