#{"t_start": 1767048764.4368377, "env_id": "Reacher-v4"}
r,l,t
-5.442814,50,385.548957
-3.944941,50,386.076632
-5.235416,50,386.61775
-3.046386,50,387.162332
-5.986012,50,387.687276
-5.297302,50,388.203496
-5.964358,50,388.725711
-5.012481,50,389.235369
-5.73519,50,389.777547
-4.811729,50,390.30346
-4.043289,50,390.834126
-5.624083,50,391.356512
-5.094173,50,391.901381
-3.808569,50,392.418411
-5.145529,50,392.950134
-8.016437,50,393.484469
-2.048115,50,394.017559
-6.153981,50,394.547998
-6.161939,50,395.071385
-3.663904,50,395.605625
-4.557946,50,396.119915
-3.836072,50,396.634113
-5.672526,50,397.185698
-3.923729,50,397.760064
-5.134242,50,398.267528
-6.924206,50,398.833548
-5.941135,50,399.363698
-8.548461,50,399.883137
-5.216414,50,400.404347
-5.267259,50,400.944538
-5.06705,50,401.483746
-4.038873,50,402.040289
-4.314215,50,402.57431
-7.773036,50,403.118644
-5.890721,50,403.669058
-3.007067,50,404.183839
-3.247476,50,404.690433
-2.518854,50,405.20601
-3.664519,50,405.748694
-8.022211,50,406.282444
-4.705725,50,406.79564
-5.658947,50,407.319962
-6.42743,50,407.877886
-4.526239,50,408.410576
-4.508585,50,408.897804
-8.007561,50,409.442614
-4.933671,50,409.982118
-3.411074,50,410.503599
-4.439722,50,411.03186
-2.511435,50,411.561522
-5.791982,50,412.114002
-5.671651,50,412.608877
-4.934309,50,413.125249
-4.362616,50,413.659367
-5.467913,50,414.194175
-6.077685,50,414.709319
-3.117514,50,415.234515
-9.065219,50,415.757571
-4.967772,50,416.271835
-4.856821,50,416.775339
-6.578031,50,417.283747
-5.417808,50,417.816181
-4.391038,50,418.327924
-3.503483,50,418.816261
-4.945111,50,419.335772
-3.771659,50,419.866672
-6.950987,50,420.40344
-4.26156,50,420.906309
-6.153154,50,421.416573
-3.839889,50,421.92503
-5.158826,50,422.460114
-4.566774,50,423.003311
-6.434578,50,423.542173
-2.640771,50,424.042906
-5.505548,50,424.582693
-4.999697,50,425.12916
-4.496198,50,425.673307
-7.282034,50,426.184538
-7.656787,50,426.743019
-4.544249,50,427.295368
-3.703863,50,427.82141
-6.52244,50,428.332572
-2.980287,50,428.859413
-6.272818,50,429.362463
-4.196045,50,429.876935
-6.3686,50,430.431448
-2.694646,50,430.965945
-9.847453,50,431.48809
-5.244858,50,432.023633
-2.023598,50,432.5493
-4.818997,50,433.080801
-4.39036,50,433.609464
-4.663054,50,434.130063
-4.008394,50,434.660634
-4.769642,50,435.213386
-7.646674,50,435.718632
-5.233737,50,436.236852
-4.975509,50,436.766071
-9.004018,50,437.292709
-5.19516,50,437.810803
-5.792946,50,438.339501
-2.431845,50,438.85233
-6.468432,50,439.377642
-5.937187,50,439.901668
-2.685397,50,440.406514
-3.152241,50,440.92138
-3.46577,50,441.451055
-4.794238,50,441.961363
-5.428634,50,442.464332
-7.127269,50,442.981011
-9.486619,50,443.521879
-4.241728,50,444.050933
-4.811868,50,444.555016
-5.235499,50,445.08536
-4.772584,50,445.620149
-9.794567,50,446.131531
-3.022044,50,446.648585
-3.565387,50,447.171457
-5.742038,50,447.707233
-4.297379,50,448.232188
-5.943166,50,448.753238
-4.140479,50,449.366005
-2.393871,50,449.872696
-3.934642,50,450.379076
-5.667219,50,450.898353
-2.660261,50,451.423622
-5.641517,50,451.941008
-4.865016,50,452.444001
-5.68092,50,452.967258
-4.761497,50,453.476286
-4.36142,50,454.006457
-5.286615,50,454.507849
-6.040715,50,455.031273
-4.199062,50,455.558206
-3.000239,50,456.103227
-2.097827,50,456.630591
-4.409039,50,457.147714
-2.179498,50,457.649159
-2.7471,50,458.175259
-6.167266,50,458.691666
-9.222438,50,459.208437
-5.368813,50,459.734295
-10.243631,50,460.264806
-5.684866,50,460.796713
-4.642146,50,461.33105
-6.005159,50,461.847738
-3.231544,50,462.372718
-7.960583,50,462.90139
-9.725933,50,463.41598
-5.104592,50,463.936254
-3.946544,50,464.472295
-3.971715,50,464.981859
-1.706799,50,465.494619
-5.58807,50,466.042551
-9.074809,50,466.585021
-5.938304,50,467.110183
-1.918346,50,467.638803
-4.149604,50,468.161754
-6.734991,50,468.684581
-3.175415,50,469.192621
-5.176302,50,469.731502
-7.331158,50,470.248055
-6.065212,50,470.769126
-5.429158,50,471.282276
-8.942019,50,471.79151
-5.806766,50,472.316597
-5.516962,50,472.860164
-8.715214,50,473.368235
-4.390388,50,473.866548
-6.723086,50,474.390535
-4.906119,50,474.903168
-3.836547,50,475.431957
-5.344782,50,475.952145
-7.441442,50,476.501958
-9.031173,50,477.02075
-6.052099,50,477.557203
-8.360246,50,478.087029
-2.688697,50,478.615557
-5.079224,50,479.135792
-5.877513,50,479.674212
-2.598211,50,480.210141
-3.64336,50,480.73562
-9.558854,50,481.280678
-5.713906,50,481.792911
-5.639248,50,482.308886
-5.065708,50,482.834511
-7.011163,50,483.365739
-5.85649,50,483.87507
-4.547124,50,484.378989
-3.964665,50,484.920043
-3.933534,50,485.445661
-4.56845,50,485.989595
-5.899038,50,486.524636
-6.93829,50,487.033392
-8.83572,50,487.573645
-4.673163,50,488.067056
